code,id,price,stop_price,updated_at,asset_type,order_type,currency,quantity,pnl,pnl_net,exit_at,exit_price
XRP/USDT,5,0.28467,,2021-01-20 20:00:00+08:00,Crypto,OrderType.MARKET,USD,410788.39999999997,72474.1650468,-199.800194,2021-03-03 16:00:00+08:00,0.461097
XRP/USDT,5,0.28467,,2021-01-20 20:00:00+08:00,Crypto,OrderType.MARKET,USD,45007.9,7992.592897800001,-199.800194,2021-03-04 20:00:00+08:00,0.462252
XRP/USDT,5,0.28467,,2021-01-20 20:00:00+08:00,Crypto,OrderType.MARKET,USD,246069.70000000004,45076.03192480001,-199.800194,2021-03-06 08:00:00+08:00,0.467854
XRP/USDT,6,0.28482,0.283531,2021-01-20 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,180986.99999999997,33126.77455799999,-94.62557399997263,2021-03-06 08:00:00+08:00,0.467854
XRP/USDT,6,0.28482,0.283531,2021-01-20 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,12480.0,2293.0377599999997,-94.62557399997263,2021-03-06 12:00:00+08:00,0.468557
XRP/USDT,6,0.28482,0.283531,2021-01-20 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,508399.0,105.27990000002737,-94.62557399997263,,
XRP/USDT,7,0.26735,,2021-01-22 08:00:00+08:00,Crypto,OrderType.MARKET,USD,747335.7,0.0,-199.800199,,
XRP/USDT,8,0.26786,0.266281,2021-01-22 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,747335.7,381.1412070000078,180.9598660000078,,
XRP/USDT,9,0.26421,,2021-01-22 12:00:00+08:00,Crypto,OrderType.MARKET,USD,756217.4,0.0,-199.800199,,
XRP/USDT,10,0.2673,0.263153,2021-01-22 12:00:00+08:00,Crypto,OrderType.LIMIT,USD,756217.4,2336.7117659999863,2134.574854999986,,
XRP/USDT,11,0.27085,,2021-01-22 16:00:00+08:00,Crypto,OrderType.MARKET,USD,737678.4,0.0,-199.800195,,
XRP/USDT,12,0.269767,0.269767,2021-01-22 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,737678.4,-798.9057072000005,-997.9069962000005,,
XRP/USDT,13,0.27401,,2021-01-22 20:00:00+08:00,Crypto,OrderType.MARKET,USD,729171.1,0.0,-199.800173,,
XRP/USDT,14,0.272914,0.272914,2021-01-22 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,729171.1,-799.1715255999896,-998.1725275999896,,
XRP/USDT,15,0.27563,,2021-01-23 00:00:00+08:00,Crypto,OrderType.MARKET,USD,724885.5,0.0,-199.80019,,
XRP/USDT,16,0.274527,0.274527,2021-01-23 00:00:00+08:00,Crypto,OrderType.LIMIT,USD,724885.5,-799.5487064999747,-998.5493484999747,,
XRP/USDT,17,0.27217,,2021-01-23 04:00:00+08:00,Crypto,OrderType.MARKET,USD,734100.7,0.0,-199.800188,,
XRP/USDT,18,0.27567,0.271081,2021-01-23 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,734100.7,2569.352450000002,2366.982910000002,,
XRP/USDT,19,0.27718,,2021-01-23 08:00:00+08:00,Crypto,OrderType.MARKET,USD,720831.9,0.0,-199.800186,,
XRP/USDT,20,0.276071,0.276071,2021-01-23 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,720831.9,-799.4025770999792,-998.4033600999792,,
XRP/USDT,21,0.2678,,2021-01-23 16:00:00+08:00,Crypto,OrderType.MARKET,USD,746079.9,0.0,-199.800197,,
XRP/USDT,22,0.27933,0.266729,2021-01-23 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,746079.9,8602.30124700003,8393.89874900003,,
XRP/USDT,23,0.27101,,2021-01-23 20:00:00+08:00,Crypto,OrderType.MARKET,USD,737242.9,0.0,-199.800198,,
XRP/USDT,24,0.269926,0.269926,2021-01-23 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,737242.9,-799.1713035999808,-998.1723305999808,,
XRP/USDT,25,0.27297,,2021-01-24 00:00:00+08:00,Crypto,OrderType.MARKET,USD,731949.2,0.0,-199.800173,,
XRP/USDT,26,0.271878,0.271878,2021-01-24 00:00:00+08:00,Crypto,OrderType.LIMIT,USD,731949.2,-799.2885263999867,-998.2894113999868,,
XRP/USDT,27,0.27167,,2021-01-24 04:00:00+08:00,Crypto,OrderType.MARKET,USD,735451.8,0.0,-199.800191,,
XRP/USDT,28,0.27296,0.270583,2021-01-24 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,735451.8,948.732821999969,747.983898999969,,
XRP/USDT,29,0.27526,,2021-01-24 08:00:00+08:00,Crypto,OrderType.MARKET,USD,725859.9,0.0,-199.800196,,
XRP/USDT,30,0.274159,0.274159,2021-01-24 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,725859.9,-799.1717499000135,-998.1727739000136,,
XRP/USDT,31,0.27496,,2021-01-24 12:00:00+08:00,Crypto,OrderType.MARKET,USD,726651.8,0.0,-199.800179,,
XRP/USDT,32,0.2753,0.27386,2021-01-24 12:00:00+08:00,Crypto,OrderType.LIMIT,USD,726651.8,247.06161200000508,47.01437100000507,,
XRP/USDT,33,0.2761,,2021-01-24 16:00:00+08:00,Crypto,OrderType.MARKET,USD,723651.5,0.0,-199.800179,,
XRP/USDT,34,0.274996,0.274996,2021-01-24 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,723651.5,-798.9112559999955,-997.9125239999955,,
XRP/USDT,35,0.27225,,2021-01-24 20:00:00+08:00,Crypto,OrderType.MARKET,USD,733885.0,0.0,-199.800191,,
XRP/USDT,36,0.27608,0.271161,2021-01-24 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,733885.0,2810.77955,2608.168579,,
XRP/USDT,37,0.27339,,2021-01-25 04:00:00+08:00,Crypto,OrderType.MARKET,USD,730824.8,0.0,-199.800192,,
XRP/USDT,38,0.272296,0.272296,2021-01-25 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,730824.8,-799.5223312000288,-998.5230012000288,,
XRP/USDT,39,0.26757,,2021-01-26 04:00:00+08:00,Crypto,OrderType.MARKET,USD,746721.2,0.0,-199.800191,,
XRP/USDT,42,0.26834,,2021-01-27 04:00:00+08:00,Crypto,OrderType.MARKET,USD,744578.5,0.0,-199.800195,,
XRP/USDT,43,0.267267,0.267267,2021-01-27 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,744578.5,-798.9327305000344,-997.9339925000344,,
XRP/USDT,44,0.25207,,2021-01-27 16:00:00+08:00,Crypto,OrderType.MARKET,USD,792637.7,0.0,-199.800185,,
XRP/USDT,49,0.44202,,2021-01-31 12:00:00+08:00,Crypto,OrderType.MARKET,USD,452016.1,0.0,-199.800157,,
XRP/USDT,50,0.440252,0.440252,2021-01-31 12:00:00+08:00,Crypto,OrderType.LIMIT,USD,452016.1,-799.1644648000214,-998.1654568000214,,
XRP/USDT,51,0.47778,,2021-01-31 20:00:00+08:00,Crypto,OrderType.MARKET,USD,418184.5,0.0,-199.80019,,
XRP/USDT,52,0.49207,0.475869,2021-01-31 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,418184.5,5975.856505000011,5770.08045800001,,
XRP/USDT,53,0.47042,,2021-02-01 00:00:00+08:00,Crypto,OrderType.MARKET,USD,424727.2,0.0,-199.800169,,
XRP/USDT,54,0.47778,0.468538,2021-02-01 00:00:00+08:00,Crypto,OrderType.LIMIT,USD,424727.2,3125.9921919999906,2923.0660299999904,,
XRP/USDT,55,0.49507,,2021-02-01 04:00:00+08:00,Crypto,OrderType.MARKET,USD,403579.6,0.0,-199.800153,,
XRP/USDT,56,0.49309,0.49309,2021-02-01 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,403579.6,-799.087608000015,-998.0886730000151,,
XRP/USDT,57,0.5545,,2021-02-01 08:00:00+08:00,Crypto,OrderType.MARKET,USD,360324.9,0.0,-199.800157,,
XRP/USDT,58,0.552282,0.552282,2021-02-01 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,360324.9,-799.2006281999793,-998.2015841999793,,
XRP/USDT,59,0.61516,,2021-02-01 16:00:00+08:00,Crypto,OrderType.MARKET,USD,324793.8,0.0,-199.800154,,
XRP/USDT,60,0.62784,0.612699,2021-02-01 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,324793.8,4118.385383999972,3914.4668449999717,,
XRP/USDT,61,0.36395,,2021-02-02 12:00:00+08:00,Crypto,OrderType.MARKET,USD,548977.0,0.0,-199.800179,,
XRP/USDT,62,0.37239,0.362494,2021-02-02 12:00:00+08:00,Crypto,OrderType.LIMIT,USD,548977.0,4633.365880000002,4428.932335000002,,
XRP/USDT,63,0.39106,,2021-02-02 16:00:00+08:00,Crypto,OrderType.MARKET,USD,510919.5,0.0,-199.80018,,
XRP/USDT,64,0.389496,0.389496,2021-02-02 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,510919.5,-799.0780980000051,-998.0792000000051,,
XRP/USDT,65,0.38061,,2021-02-02 20:00:00+08:00,Crypto,OrderType.MARKET,USD,524947.3,0.0,-199.800192,,
XRP/USDT,66,0.39106,0.379088,2021-02-02 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,524947.3,5485.699285000008,5280.413394000008,,
XRP/USDT,67,0.37893,,2021-02-03 00:00:00+08:00,Crypto,OrderType.MARKET,USD,527274.6,0.0,-199.800164,,
XRP/USDT,68,0.38087,0.377414,2021-02-03 00:00:00+08:00,Crypto,OrderType.LIMIT,USD,527274.6,1022.9127239999985,822.0896469999985,,
XRP/USDT,69,0.37254,,2021-02-03 04:00:00+08:00,Crypto,OrderType.MARKET,USD,536318.7,0.0,-199.800168,,
XRP/USDT,70,0.37895,0.37105,2021-02-03 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,536318.7,3437.802867000014,3234.564896000014,,
XRP/USDT,71,0.38122,,2021-02-03 08:00:00+08:00,Crypto,OrderType.MARKET,USD,524107.3,0.0,-199.800185,,
XRP/USDT,72,0.379695,0.379695,2021-02-03 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,524107.3,-799.2636324999993,-998.2645534999992,,
XRP/USDT,73,0.38293,,2021-02-03 12:00:00+08:00,Crypto,OrderType.MARKET,USD,521766.9,0.0,-199.800199,,
XRP/USDT,74,0.381398,0.381398,2021-02-03 12:00:00+08:00,Crypto,OrderType.LIMIT,USD,521766.9,-799.3468907999885,-998.3477427999885,,
XRP/USDT,75,0.37522,,2021-02-03 16:00:00+08:00,Crypto,OrderType.MARKET,USD,532488.1,0.0,-199.800185,,
XRP/USDT,76,0.38298,0.373719,2021-02-03 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,532488.1,4132.107655999994,3928.175362999994,,
XRP/USDT,77,0.37703,,2021-02-03 20:00:00+08:00,Crypto,OrderType.MARKET,USD,529931.8,0.0,-199.800187,,
